session_id,timestamp,user_id,page_visitee,duree_visite_sec,device,campaign_id,converted,valeur_conversion
cb4e91a7-e3fc-4404-bce2-511cac13d35e,2026-07-11T19:15:02.602063,CLI00095,www.jumia/accueil.com,85,desktop,CMP0008,False,0.0
fa54b2aa-5c0e-4ae0-b56e-bf1eb41d69f3,2026-09-04T09:46:02.602063,CLI00038,www.jumia/promo.com,13,tablette,,False,0.0
57779f47-bfda-413d-bcae-5b28662f8254,2026-08-17T19:48:02.602063,ANON7f7f99a0,www.jumia/produits.com,31,mobile,CMP0010,False,0.0
9c8bcf97-58fd-4c63-8901-1c73eac6de47,2026-07-13T12:27:02.602063,ANONf8131339,www.jumia/panier.com,41,tablette,CMP0010,False,0.0
8aa9e109-df2d-4641-b35c-f1359fb2aa91,2026-07-30T09:37:02.602063,ANON7ca7c389,www.jumia/blog.com,54,desktop,CMP0014,False,0.0
6172c92f-c123-4908-922f-307f1d5c084d,2026-08-11T13:42:02.602063,ANON76be9a28,www.jumia/panier.com,138,tablette,,False,0.0
48f4c84a-5400-4907-aa7b-a2914e872984,2026-07-19T03:21:02.602063,CLI00039,www.jumia/produit/detail.com,20,mobile,CMP0004,False,0.0
08da9cdf-c15f-40f3-a06c-6e6c134308a7,2026-08-01T09:23:02.602063,CLI00148,www.jumia/checkout.com,64,desktop,CMP0005,False,0.0
d9bf555d-ed93-4bce-a3e9-394f3dc403ad,2026-07-10T15:53:02.602063,ANON678faa39,www.jumia/promo.com,80,tablette,,False,0.0
707ffd8f-21b7-46f9-8fd3-eb4affb4590f,2026-08-26T01:06:02.602063,ANON2a40b67a,www.jumia/checkout.com,4,mobile,CMP0004,False,0.0
a4e933a1-274a-4f75-b449-62cb45ba96f3,2026-07-09T00:29:02.602063,ANON099e9f0e,www.jumia/checkout.com,84,desktop,CMP0012,False,0.0
b552a60f-dcd8-4fe6-9c24-1c8e6d7fdaa5,2026-08-19T04:23:02.602063,CLI00253,www.jumia/contact.com,16,mobile,CMP0005,False,0.0
db095597-ef16-43f7-bbea-32dde79b5598,2026-08-12T20:35:02.602063,ANONf7799297,www.jumia/accueil.com,6,mobile,CMP0006,False,0.0
ef7eb42e-3bbb-4c66-be48-85111b7555aa,2026-07-20T16:32:02.602063,ANON6457b5bb,www.jumia/accueil.com,267,tablette,,False,0.0
a3e1c5db-c014-4d49-ac17-8b1d914440e9,2026-08-27T03:15:02.602063,CLI00266,www.jumia/contact.com,303,desktop,CMP0013,False,0.0
b4f8d8a7-1ad5-4d76-aa02-242b6633075b,2026-07-17T13:06:02.602063,CLI00047,www.jumia/contact.com,148,desktop,,False,0.0
a172158a-daa9-4c74-a51e-5f8270938cbc,2026-08-01T04:59:02.602063,ANON8213c255,www.jumia/confirmation-commande.com,32,desktop,,True,132.32
c6100e88-ee33-4d87-b276-b94ea45452a6,2026-07-24T16:04:02.602063,ANON022446a8,www.jumia/contact.com,9,mobile,,False,0.0
7d3efa20-c928-427b-ac27-1f093c172cc5,2026-07-26T02:59:02.602063,CLI00264,www.jumia/accueil.com,103,tablette,CMP0013,False,0.0
ed808a83-9842-4a12-947b-2544b0a69002,2026-08-30T12:08:02.602063,CLI00319,www.jumia/contact.com,52,tablette,CMP0004,False,0.0
5c73fa9a-5fca-4049-9ddd-e93070634b31,2026-08-02T19:52:02.602063,ANONc3b4e9f4,www.jumia/contact.com,11,tablette,CMP0003,False,0.0
af39471c-582e-4b01-aae1-fca0ea431e06,2026-08-05T21:40:02.602063,ANON9fe0b515,www.jumia/panier.com,61,tablette,,False,0.0
a22e442d-3572-40f2-952d-a2d186d70db4,2026-07-16T04:14:02.602063,CLI00431,www.jumia/produits.com,3,desktop,CMP0007,False,0.0
